   n, insertion_cmp, insertion_swaps, insertion_time
 155,           223,              70,            499
 156,           224,              70,              0
 157,           225,              70,              0
 158,           226,              70,              0
 159,           228,              71,              0
 160,           229,              71,            500
 161,           230,              71,              0
 162,           232,              72,            500
 163,           233,              72,              0
 164,           234,              72,              0
 165,           236,              73,              0
 166,           239,              75,              0
 167,           243,              78,            500
 168,           248,              82,              0
 169,           249,              82,            500
 170,           250,              82,              0
 171,           251,              82,            500
 172,           252,              82,              0
 173,           253,              82,            499
 174,           254,              82,              0
 175,           256,              83,              0
 176,           257,              83,              0
 177,           258,              83,              0
 178,           260,              84,              0
 179,           261,              84,              0
 180,           262,              84,              0
 181,           263,              84,              0
 182,           264,              84,            499
 183,           265,              84,              0
 184,           267,              85,            500
 185,           269,              86,              0
 186,           272,              88,            500
 187,           274,              89,              0
 188,           275,              89,            500
 189,           276,              89,              0
 190,           277,              89,            500
 191,           279,              90,              0
 192,           282,              92,            500
 193,           286,              95,              0
 194,           291,              99,            500
 195,           292,              99,              0
 196,           293,              99,            500
 197,           294,              99,              0
 198,           295,              99,            500
 199,           296,              99,              0
 200,           297,              99,              0
 201,           298,              99,              0
 202,           300,             100,              0
 203,           301,             100,            500
 204,           302,             100,              0
 205,           303,             100,            499
 206,           305,             101,              0
 207,           306,             101,            500
 208,           309,             103,              0
 209,           310,             103,            500
 210,           311,             103,              0
 211,           312,             103,              0
 212,           313,             103,              0
 213,           314,             103,              0
 214,           315,             103,            499
 215,           316,             103,              0
 216,           317,             103,            501
 217,           318,             103,              0
 218,           320,             104,            499
 219,           321,             104,              0
 220,           322,             104,              0
 221,           323,             104,            501
 222,           326,             106,              0
 223,           327,             106,            500
 224,           328,             106,              0
 225,           330,             107,              0
 226,           331,             107,            500
 227,           332,             107,              0
 228,           333,             107,            500
 229,           334,             107,              0
 230,           336,             108,              0
 231,           339,             110,            499
 232,           342,             112,              0
 233,           343,             112,            501
 234,           344,             112,              0
 235,           345,             112,              0
 236,           346,             112,            499
 237,           347,             112,              0
 238,           349,             113,            501
 239,           350,             113,            499
 240,           351,             113,              0
 241,           353,             114,            500
 242,           356,             116,              0
 243,           357,             116,              0
 244,           358,             116,            500
 245,           359,             116,              0
 246,           361,             117,              0
 247,           363,             118,            500
 248,           365,             119,              0
 249,           366,             119,            499
 250,           367,             119,            500
 251,           369,             120,              0
 252,           370,             120,            500
 253,           371,             120,            501
 254,           373,             121,              0
 255,           375,             122,            499
 256,           376,             122,            500
 257,           377,             122,              0
 258,           379,             123,            500
 259,           380,             123,            500
 260,           381,             123,              0
 261,           382,             123,              0
 262,           383,             123,            500
 263,           384,             123,              0
 264,           385,             123,              0
 265,           386,             123,            499
 266,           387,             123,              0
 267,           388,             123,              0
 268,           389,             123,            500
 269,           390,             123,            500
 270,           391,             123,              0
 271,           393,             124,            500
 272,           396,             126,            500
 273,           398,             127,              0
 274,           399,             127,              0
 275,           400,             127,            500
 276,           402,             128,            500
 277,           405,             130,              0
 278,           406,             130,              0
 279,           407,             130,            500
 280,           408,             130,            501
 281,           410,             131,              0
 282,           411,             131,              0
 283,           413,             132,            500
 284,           414,             132,            500
 285,           415,             132,              0
 286,           417,             133,              0
 287,           419,             134,            499
 288,           422,             136,            500
 289,           426,             139,              0
 290,           427,             139,              0
 291,           428,             139,            501
 292,           429,             139,            500
 293,           430,             139,            499
 294,           431,             139,              0
 295,           432,             139,              0
 296,           435,             141,            500
 297,           436,             141,            501
 298,           437,             141,              0
 299,           438,             141,              0
 300,           439,             141,            500
 301,           440,             141,            500
 302,           441,             141,            500
 303,           443,             142,            500
 304,           446,             144,              0
 305,           450,             147,              0
 306,           451,             147,            499
 307,           452,             147,            500
 308,           454,             148,            500
 309,           455,             148,            500
 310,           456,             148,              0
 311,           457,             148,              0
 312,           458,             148,              0
 313,           460,             149,            500
 314,           462,             150,            500
 315,           463,             150,            500
 316,           464,             150,            500
 317,           465,             150,              0
 318,           467,             151,              0
 319,           470,             153,            500
 320,           474,             156,            500
 321,           475,             156,            500
 322,           476,             156,            500
 323,           477,             156,            500
 324,           478,             156,              0
 325,           480,             157,              0
 326,           481,             157,              0
 327,           482,             157,            500
 328,           484,             158,            500
 329,           485,             158,            499
 330,           486,             158,            500
 331,           488,             159,            500
 332,           490,             160,              0
 333,           494,             163,              0
 334,           495,             163,              0
 335,           496,             163,              0
 336,           497,             163,            500
 337,           498,             163,            499
 338,           499,             163,            500
 339,           500,             163,            500
 340,           502,             164,            500
 341,           504,             165,            500
 342,           505,             165,            500
 343,           506,             165,              0
 344,           507,             165,              0
 345,           510,             167,              0
 346,           512,             168,              0
 347,           517,             172,            500
 348,           518,             172,            500
 349,           519,             172,            500
 350,           520,             172,            500
 351,           522,             173,            500
 352,           524,             174,            500
 353,           525,             174,            500
 354,           526,             174,            500
 355,           527,             174,            500
 356,           528,             174,            500
 357,           530,             175,            500
 358,           531,             175,            500
 359,           532,             175,            500
 360,           533,             175,            501
 361,           535,             176,            499
 362,           538,             178,            500
 363,           539,             178,              0
 364,           543,             181,              0
 365,           544,             181,              0
 366,           545,             181,              0
 367,           546,             181,              0
 368,           548,             182,              0
 369,           550,             183,              0
 370,           551,             183,              0
 371,           552,             183,              0
 372,           553,             183,              0
 373,           555,             184,              0
 374,           556,             184,              0
 375,           557,             184,              0
 376,           559,             185,              0
 377,           562,             187,              0
 378,           566,             190,              0
 379,           568,             191,              0
 380,           569,             191,              0
 381,           570,             191,              0
 382,           572,             192,              0
 383,           573,             192,              0
 384,           576,             194,              0
 385,           577,             194,            500
 386,           578,             194,            500
 387,           579,             194,            500
 388,           580,             194,            500
 389,           582,             195,            500
 390,           585,             197,            500
 391,           586,             197,            500
 392,           588,             198,            500
 393,           589,             198,            500
 394,           590,             198,              0
 395,           592,             199,              0
 396,           593,             199,            500
 397,           594,             199,            500
 398,           595,             199,            500
 399,           597,             200,            500
 400,           598,             200,            499
 401,           599,             200,            500
 402,           601,             201,            500
 403,           603,             202,            500
 404,           607,             205,              0
 405,           608,             205,              0
 406,           609,             205,            499
 407,           610,             205,            500
 408,           611,             205,            500
 409,           612,             205,            500
 410,           613,             205,            500
 411,           616,             207,            500
 412,           620,             210,            500
 413,           621,             210,            500
 414,           622,             210,              0
 415,           623,             210,            501
 416,           624,             210,            500
 417,           625,             210,            500
 418,           626,             210,            500
