   n, heap_cmp, heap_swaps, heap_time
 221,     2879,       1640,      2001
 222,     2895,       1652,      2001
 223,     2904,       1657,      1502
 224,     2919,       1670,      1501
 225,     2938,       1680,      1502
 226,     2951,       1687,      1501
 227,     2964,       1692,      1501
 228,     2980,       1701,      1501
 229,     2999,       1715,      1501
 230,     3013,       1722,      2001
 231,     3026,       1727,      2002
 232,     3040,       1737,      2001
 233,     3060,       1748,      2001
 234,     3071,       1753,      2001
 235,     3090,       1765,      2001
 236,     3105,       1776,      2002
 237,     3125,       1784,      2000
 238,     3134,       1788,      2002
 239,     3150,       1795,      2002
 240,     3162,       1802,      2501
 241,     3182,       1817,      2002
 242,     3198,       1827,      2001
 243,     3213,       1835,      2001
 244,     3221,       1841,      2003
 245,     3244,       1848,      2000
 246,     3259,       1860,      2001
 247,     3275,       1869,      2002
 248,     3286,       1874,      2001
 249,     3306,       1881,      2000
 250,     3320,       1895,      2002
 251,     3334,       1901,      2002
 252,     3352,       1912,      2501
 253,     3368,       1919,      2002
 254,     3380,       1930,      2501
 255,     3401,       1939,      2501
 256,     3413,       1947,      2502
 257,     3435,       1955,      2001
 258,     3446,       1963,      2502
 259,     3470,       1978,      2001
 260,     3484,       1988,      2001
 261,     3501,       1992,      2502
 262,     3519,       2008,      2001
 263,     3538,       2012,      2001
 264,     3555,       2026,      2502
 265,     3572,       2031,      2503
 266,     3594,       2048,      2499
 267,     3609,       2050,      2502
 268,     3624,       2066,      2002
 269,     3643,       2073,      2002
 270,     3660,       2083,      2501
 271,     3680,       2095,      2502
 272,     3697,       2099,      2001
 273,     3717,       2112,      2502
 274,     3729,       2121,      2501
 275,     3750,       2135,      2502
 276,     3765,       2141,      2501
 277,     3780,       2151,      2001
 278,     3800,       2164,      2001
 279,     3816,       2171,      2502
 280,     3834,       2183,      2502
 281,     3849,       2186,      2501
 282,     3867,       2199,      2502
 283,     3890,       2209,      2502
 284,     3903,       2218,      2502
 285,     3922,       2228,      2502
 286,     3938,       2239,      2501
 287,     3958,       2249,      3002
 288,     3977,       2256,      2501
 289,     3996,       2272,      2502
 290,     4012,       2281,      3002
 291,     4033,       2288,      2502
 292,     4043,       2298,      3002
 293,     4066,       2308,      2501
 294,     4079,       2317,      2502
 295,     4099,       2328,      2501
 296,     4117,       2337,      2502
 297,     4136,       2350,      2501
 298,     4154,       2359,      3002
 299,     4173,       2370,      2501
 300,     4188,       2373,      3002
 301,     4209,       2388,      3002
 302,     4222,       2397,      2502
 303,     4241,       2405,      2502
 304,     4261,       2418,      3002
 305,     4278,       2422,      3002
 306,     4295,       2439,      2501
 307,     4311,       2446,      3002
 308,     4328,       2452,      3002
 309,     4348,       2462,      2502
 310,     4364,       2474,      2502
 311,     4382,       2485,      3002
 312,     4403,       2496,      3002
 313,     4417,       2506,      3002
 314,     4434,       2514,      2502
 315,     4451,       2526,      2502
 316,     4470,       2539,      3003
 317,     4492,       2541,      3002
 318,     4507,       2553,      3002
 319,     4523,       2562,      3002
 320,     4535,       2572,      3002
 321,     4556,       2580,      3503
 322,     4574,       2591,      3002
 323,     4592,       2603,      3002
 324,     4608,       2610,      3002
 325,     4627,       2616,      3002
 326,     4643,       2630,      3002
 327,     4662,       2641,      3002
 328,     4679,       2648,      3002
 329,     4699,       2662,      3002
 330,     4713,       2671,      3003
