     n, quick_cmp, quick_swaps, quick_time
   350,      4985,         957,       2502
   351,      4990,         953,       2502
   352,      5185,         954,       2502
   353,      5008,         975,       3002
   354,      5024,         958,       2501
   355,      5045,         961,       2502
   356,      5222,         996,       3002
   357,      5058,         979,       3002
   358,      5016,         982,       2502
   359,      5021,         986,       2501
   360,      5008,         996,       3002
   361,      5017,         995,       3003
   362,      5121,        1008,       2501
   363,      5250,        1001,       2502
   364,      5240,         993,       2502
   365,      5280,        1010,       3002
   366,      5372,        1006,       3002
   367,      5355,         998,       3002
   368,      5189,        1017,       3002
   369,      5403,        1013,       3002
   370,      5125,        1008,       2501
   371,      5455,        1012,       3002
   372,      5682,        1010,       3002
   373,      5243,        1043,       2502
   374,      5490,        1043,       2501
   375,      5530,        1035,       2501
   376,      5615,        1031,       2502
   377,      5631,        1041,       3002
   378,      5450,        1021,       3002
   379,      5467,        1043,       3002
   380,      5231,        1051,       3002
   381,      5595,        1035,       3002
   382,      5402,        1054,       3002
   383,      5419,        1057,       3002
   384,      5541,        1062,       3002
   385,      5539,        1046,       3002
   386,      5437,        1064,       3002
   387,      5537,        1080,       3503
   388,      5624,        1070,       3001
   389,      5599,        1073,       2501
   390,      5767,        1067,       3002
   391,      5519,        1064,       3002
   392,      5771,        1082,       3502
   393,      5887,        1076,       3002
   394,      5590,        1097,       3002
   395,      5868,        1090,       3002
   396,      5667,        1090,       3002
   397,      5744,        1098,       3002
   398,      5676,        1107,       3002
   399,      5797,        1118,       3002
   400,      5879,        1101,       3002
   401,      5650,        1123,       3003
   402,      5735,        1108,       3002
   403,      5815,        1125,       3502
   404,      5884,        1119,       3002
   405,      5982,        1097,       3002
   406,      5784,        1118,       3502
   407,      5786,        1126,       3002
   408,      5818,        1124,       3502
   409,      5752,        1153,       3002
   410,      5949,        1152,       3003
   411,      6101,        1160,       3502
   412,      6221,        1135,       3503
   413,      6143,        1129,       3502
   414,      5935,        1157,       3002
   415,      5948,        1154,       3003
   416,      5940,        1147,       3502
   417,      5933,        1145,       3502
   418,      6105,        1148,       3503
   419,      6429,        1124,       3503
   420,      6237,        1177,       3503
   421,      6060,        1177,       3502
   422,      6233,        1177,       3503
   423,      5999,        1188,       3503
   424,      6328,        1182,       3503
   425,      6346,        1189,       3503
   426,      6296,        1175,       3003
   427,      6325,        1179,       3002
   428,      6223,        1179,       3003
   429,      6289,        1186,       3002
   430,      6453,        1208,       3502
   431,      6272,        1223,       3503
   432,      6282,        1217,       3502
   433,      6316,        1221,       3503
   434,      6346,        1191,       3503
   435,      6362,        1199,       3502
   436,      6328,        1212,       3503
   437,      6364,        1203,       3502
   438,      6676,        1223,       3502
   439,      6401,        1228,       3502
   440,      6473,        1242,       3502
   441,      6358,        1233,       3503
   442,      6490,        1252,       3502
   443,      6554,        1269,       4003
   444,      6544,        1265,       3502
   445,      6481,        1254,       3503
   446,      6720,        1228,       3502
   447,      6659,        1255,       3503
   448,      6739,        1256,       4003
   449,      6874,        1243,       3503
   450,      6772,        1253,       3502
   451,      6601,        1272,       3502
   452,      6602,        1276,       3503
   453,      6655,        1291,       3536
   454,      6762,        1266,       3969
   455,      6677,        1277,       3502
   456,      6714,        1257,       4003
   457,      6761,        1283,       3503
   458,      6722,        1293,       4002
   459,      6680,        1270,       3502
   460,      6952,        1289,       4003
   461,      6765,        1292,       3504
   462,      6672,        1311,       3502
   463,      6769,        1315,       3503
   464,      6977,        1302,       4004
   465,      6859,        1307,       4003
   466,      7244,        1287,       4503
   467,      6792,        1348,       3502
   468,      6963,        1287,       3502
   469,      7065,        1309,       3502
   470,      6968,        1320,       3502
   471,      7249,        1329,       4003
   472,      6868,        1337,       4003
   473,      6989,        1347,       4003
   474,      7166,        1323,       3502
   475,      7265,        1328,       4002
   476,      6952,        1343,       3503
   477,      7269,        1349,       4003
   478,      7119,        1344,       4003
   479,      6916,        1374,       4003
   480,      7538,        1344,       4003
   481,      7297,        1340,       4004
   482,      7686,        1337,       4503
   483,      7366,        1339,       4003
   484,      7419,        1368,       4004
   485,      7268,        1377,       3502
   486,      7037,        1365,       3503
   487,      7293,        1364,       4003
   488,      7501,        1355,       4003
   489,      7345,        1375,       4003
   490,      7426,        1362,       4003
   491,      7485,        1366,       4003
   492,      7498,        1368,       4003
   493,      7677,        1379,       4003
   494,      7290,        1391,       4003
   495,      7627,        1378,       4003
   496,      7725,        1366,       4003
   497,      7928,        1357,       4503
   498,      7177,        1401,       4004
   499,      7306,        1419,       4002
   500,      7499,        1411,       4003
   501,      7502,        1417,       4004
   502,      7489,        1463,       4503
   503,      7770,        1441,       4002
   504,      7537,        1428,       4003
   505,      7375,        1419,       4003
   506,      7713,        1433,       4004
   507,      7572,        1456,       4003
   508,      7429,        1451,       4003
   509,      7790,        1422,       4003
   510,      8025,        1431,       4503
   511,      7640,        1448,       4003
   512,      7766,        1464,       4003
   513,      7700,        1468,       4503
   514,      8255,        1444,       4504
   515,      7686,        1481,       4002
   516,      7706,        1482,       4003
   517,      7764,        1481,       4002
   518,      7577,        1495,       4003
   519,      7946,        1481,       4004
   520,      7949,        1461,       4503
   521,      8019,        1467,       4503
   522,      7902,        1505,       4503
   523,      8076,        1493,       4504
   524,      8056,        1476,       4503
   525,      8098,        1470,       4504
   526,      7952,        1476,       4003
   527,      8171,        1483,       4003
   528,      8192,        1477,       4003
   529,      8300,        1510,       4503
   530,      7972,        1522,       4503
   531,      7884,        1500,       4503
   532,      7851,        1528,       4504
   533,      8338,        1494,       4503
   534,      8072,        1524,       4002
   535,      8203,        1537,       4504
   536,      8120,        1524,       4503
   537,      8279,        1535,       4503
   538,      8154,        1517,       4503
   539,      8275,        1525,       4504
   540,      8376,        1558,       4504
   541,      8327,        1566,       4503
   542,      8219,        1539,       4504
   543,      8607,        1540,       4503
   544,      8095,        1558,       4503
   545,      8439,        1554,       4504
   546,      8300,        1559,       5003
   547,      8667,        1552,       4504
   548,      8531,        1538,       4503
   549,      8825,        1551,       5004
   550,      8322,        1531,       4504
   551,      8436,        1596,       5003
   552,      8494,        1558,       4503
   553,      8473,        1564,       4503
   554,      8508,        1603,       4504
   555,      8645,        1591,       4504
   556,      8613,        1582,       4503
   557,      8901,        1558,       5004
   558,      8720,        1596,       4504
   559,      8885,        1581,       4503
   560,      8949,        1586,       4504
   561,      8557,        1594,       5003
   562,      8594,        1630,       4504
   563,      8511,        1627,       4504
   564,      8626,        1615,       5003
   565,      9062,        1618,       5004
   566,      8971,        1593,       5005
   567,      8898,        1595,       5003
   568,      9064,        1601,       5004
   569,      8896,        1630,       5003
   570,      8837,        1633,       5004
   571,      9301,        1629,       5003
   572,      8887,        1635,       4503
   573,      8737,        1657,       5003
   574,      8946,        1656,       5504
   575,      8973,        1676,       5505
   576,      8929,        1677,       5004
   577,      9072,        1675,       5005
   578,      8890,        1639,       5003
   579,      8987,        1669,       5003
   580,      9134,        1669,       5004
   581,      8958,        1698,       5004
   582,      8954,        1699,       5004
   583,      8962,        1688,       5003
   584,      9022,        1680,       4504
   585,      8936,        1675,       4503
   586,      9086,        1673,       5004
   587,      9233,        1686,       5003
   588,      9028,        1699,       5003
   589,      8902,        1729,       4503
   590,      9497,        1661,       4503
   591,      9152,        1728,       5003
   592,      9310,        1732,       5004
   593,      9183,        1728,       5004
   594,      9482,        1728,       5504
   595,      8933,        1744,       5004
   596,      9143,        1697,       4503
   597,      9235,        1714,       5003
   598,      9245,        1722,       5004
   599,      9501,        1709,       5004
   600,      9404,        1732,       5004
   601,      9249,        1736,       5003
   602,      9434,        1730,       5004
   603,      9463,        1726,       5004
   604,      9117,        1765,       4504
   605,      9351,        1746,       5004
   606,      9483,        1778,       5505
   607,      9529,        1742,       5003
   608,      9357,        1757,       5003
   609,      9578,        1756,       5004
   610,      9524,        1738,       5003
   611,      9530,        1758,       5004
   612,      9355,        1806,       5004
   613,      9737,        1759,       5004
   614,      9785,        1771,       5004
   615,      9982,        1758,       5003
   616,      9726,        1773,       5003
   617,      9705,        1752,       5004
   618,      9678,        1797,       5004
