   n, quick_cmp, quick_swaps, quick_time
 271,     13943,         474,       6004
 272,     14046,         476,       6005
 273,     14143,         477,       6005
 274,     14244,         479,       6005
 275,     14343,         481,       6005
 276,     14444,         483,       6505
 277,     14544,         485,       6505
 278,     14640,         486,       6005
 279,     14739,         488,       6505
 280,     14980,         492,       6005
 281,     15081,         494,       6505
 282,     15036,         493,       6505
 283,     15137,         495,       6505
 284,     15236,         495,       6505
 285,     15338,         497,       6505
 286,     15299,         499,       6505
 287,     15398,         500,       6505
 288,     15645,         504,       7006
 289,     15744,         505,       6505
 290,     15890,         506,       6505
 291,     15994,         508,       7006
 292,     15903,         508,       7005
 293,     16005,         510,       6505
 294,     16108,         512,       6505
 295,     16211,         514,       7005
 296,     16465,         516,       7006
 297,     16564,         517,       7005
 298,     16711,         519,       7005
 299,     16817,         521,       7506
 300,     17074,         525,       7006
 301,     17182,         527,       7506
 302,     17093,         527,       7005
 303,     17202,         529,       7506
 304,     17311,         531,       7506
 305,     17417,         532,       7006
 306,     17525,         534,       7506
 307,     17632,         536,       7506
 308,     17741,         538,       7506
 309,     17845,         539,       7505
 310,     17953,         541,       7506
 311,     18061,         543,       8007
 312,     18170,         545,       7506
 313,     18280,         547,       7505
 314,     18545,         550,       7506
 315,     18654,         552,       7506
 316,     18813,         553,       8007
 317,     18924,         555,       8007
 318,     18826,         555,       8507
 319,     18937,         557,       8507
 320,     19207,         560,       9007
 321,     19317,         562,       8507
 322,     19479,         563,       8507
 323,     19591,         565,       8507
 324,     19488,         565,       8507
 325,     19601,         567,       8507
 326,     19872,         568,       8507
 327,     19984,         570,       8507
 328,     20418,         573,       9007
 329,     20529,         574,       8507
 330,     20811,         578,       9007
 331,     20929,         580,       9007
 332,     20876,         578,       9007
 333,     20998,         581,       9007
 334,     20785,         581,       8506
 335,     20902,         583,       9007
 336,     20852,         585,       9007
 337,     20969,         587,       9007
 338,     21087,         589,       9007
 339,     21205,         591,       9508
 340,     21324,         593,       9007
 341,     21440,         594,       9507
 342,     21558,         596,       9008
 343,     21676,         598,       9006
 344,     21797,         600,       9507
 345,     21918,         602,       9007
 346,     22206,         605,       9508
 347,     22328,         607,      10008
 348,     22503,         608,       9509
 349,     22623,         611,      10007
 350,     22512,         611,       9507
 351,     22634,         613,      10008
 352,     22930,         616,      10008
 353,     23051,         618,      10008
 354,     23229,         619,      10509
 355,     23352,         621,      10008
 356,     23239,         621,      10508
 357,     23363,         623,      10008
 358,     23485,         625,      10008
 359,     23607,         627,       9507
 360,     23730,         628,       9507
 361,     23855,         630,      10008
 362,     23970,         631,      10508
 363,     24100,         633,      10509
 364,     24593,         637,      10508
 365,     24716,         639,      10509
 366,     24713,         640,      10509
 367,     24839,         642,      10508
 368,     25088,         643,      10509
 369,     25213,         644,      11008
 370,     25343,         648,      11009
 371,     25471,         650,      11009
 372,     25839,         651,      11009
 373,     25842,         651,      11008
 374,     25850,         652,      11009
 375,     25979,         654,      11509
 376,     26109,         656,      11009
 377,     26239,         658,      11009
 378,     26557,         659,      11509
 379,     26687,         661,      11509
 380,     27186,         663,      11509
 381,     27316,         665,      11510
 382,     27641,         669,      11509
 383,     27770,         670,      11509
 384,     27711,         669,      12010
 385,     27844,         671,      11510
 386,     27599,         672,      11510
 387,     27733,         674,      11509
 388,     27674,         676,      11509
 389,     27809,         678,      11509
 390,     27944,         680,      11509
 391,     28074,         681,      12010
 392,     28209,         683,      12010
 393,     28339,         684,      12010
 394,     28473,         686,      12010
 395,     28608,         688,      12009
 396,     28739,         689,      12511
 397,     28873,         691,      12510
 398,     29008,         693,      12010
 399,     29144,         695,      12510
 400,     29477,         698,      12510
 401,     29612,         700,      12510
 402,     29680,         699,      12010
 403,     29819,         702,      12510
 404,     29813,         701,      12510
 405,     29954,         704,      12510
 406,     30090,         706,      12510
 407,     30226,         708,      12510
 408,     30565,         710,      13010
 409,     30704,         712,      13011
 410,     30907,         714,      13011
 411,     30777,         714,      13011
 412,     31119,         718,      13010
 413,     31257,         721,      13011
 414,     31398,         722,      13010
 415,     31539,         724,      13011
 416,     31473,         726,      13511
 417,     31614,         728,      13011
 418,     31756,         730,      13011
 419,     31899,         732,      13511
 420,     32038,         733,      13512
 421,     32180,         735,      13510
 422,     32323,         737,      13511
 423,     32467,         739,      13512
