    n, heap_cmp, heap_swaps, heap_time
 1247,    21877,      11748,     14012
 1248,    21879,      11778,     14511
 1249,    21861,      11742,     14011
 1250,    21900,      11773,     14011
 1251,    21934,      11806,     14011
 1252,    21981,      11825,     14512
 1253,    21992,      11832,     14013
 1254,    22003,      11830,     14511
 1255,    22010,      11840,     14010
 1256,    22024,      11841,     14011
 1257,    22065,      11883,     14011
 1258,    22077,      11861,     14012
 1259,    22096,      11892,     14012
 1260,    22121,      11905,     14012
 1261,    22155,      11933,     14512
 1262,    22166,      11943,     14512
 1263,    22203,      11972,     14011
 1264,    22192,      11934,     14010
 1265,    22224,      11955,     14512
 1266,    22249,      11961,     14011
 1267,    22240,      11949,     14512
 1268,    22310,      11998,     14011
 1269,    22277,      11982,     14513
 1270,    22342,      12019,     14512
 1271,    22331,      12012,     14011
 1272,    22327,      12002,     14512
 1273,    22362,      12026,     14512
 1274,    22422,      12067,     14511
 1275,    22417,      12059,     14513
 1276,    22475,      12084,     14513
 1277,    22484,      12097,     14512
 1278,    22505,      12120,     14511
 1279,    22489,      12105,     14512
 1280,    22525,      12125,     14513
 1281,    22533,      12134,     14011
 1282,    22576,      12139,     14512
 1283,    22628,      12163,     14512
 1284,    22636,      12187,     15012
 1285,    22645,      12147,     15012
 1286,    22654,      12189,     14512
 1287,    22672,      12188,     14512
 1288,    22706,      12216,     14513
 1289,    22690,      12204,     15012
 1290,    22719,      12213,     14511
 1291,    22735,      12227,     14512
 1292,    22766,      12249,     15513
 1293,    22824,      12278,     16014
 1294,    22823,      12279,     14512
 1295,    22832,      12271,     15013
 1296,    22859,      12279,     14511
 1297,    22893,      12292,     14512
 1298,    22903,      12300,     15012
 1299,    22945,      12338,     15012
 1300,    22913,      12319,     15013
 1301,    22934,      12327,     15012
 1302,    22955,      12319,     15012
 1303,    22995,      12357,     15012
 1304,    23038,      12353,     15011
 1305,    23046,      12387,     15012
 1306,    23088,      12405,     15012
 1307,    23075,      12391,     15013
 1308,    23113,      12422,     14512
 1309,    23124,      12439,     15012
 1310,    23162,      12442,     15014
 1311,    23191,      12485,     15012
 1312,    23180,      12457,     15013
 1313,    23238,      12488,     15012
 1314,    23239,      12474,     15513
 1315,    23271,      12489,     15513
 1316,    23276,      12498,     14512
 1317,    23280,      12504,     15513
 1318,    23324,      12528,     15012
 1319,    23370,      12570,     15514
 1320,    23367,      12558,     15011
 1321,    23394,      12595,     15014
 1322,    23412,      12593,     15512
 1323,    23440,      12610,     15013
 1324,    23463,      12598,     15012
 1325,    23466,      12608,     15013
 1326,    23503,      12624,     15013
 1327,    23473,      12618,     15012
 1328,    23530,      12639,     15013
 1329,    23551,      12652,     15012
 1330,    23594,      12703,     15512
 1331,    23593,      12673,     15012
 1332,    23621,      12703,     15514
 1333,    23628,      12694,     14510
 1334,    23672,      12709,     15013
 1335,    23698,      12751,     15012
 1336,    23692,      12725,     15512
 1337,    23684,      12739,     15012
 1338,    23708,      12747,     15514
 1339,    23763,      12772,     15512
 1340,    23772,      12769,     15013
 1341,    23778,      12772,     15012
 1342,    23777,      12753,     15513
 1343,    23825,      12793,     15013
 1344,    23853,      12796,     15512
 1345,    23875,      12829,     15012
 1346,    23889,      12846,     15513
 1347,    23922,      12850,     15513
 1348,    23914,      12853,     15512
 1349,    23932,      12863,     15012
 1350,    23976,      12854,     15513
 1351,    23996,      12892,     15012
 1352,    24050,      12925,     15513
 1353,    24055,      12912,     15513
 1354,    24065,      12931,     15513
 1355,    24074,      12924,     15513
 1356,    24085,      12949,     16013
 1357,    24119,      12962,     15513
 1358,    24139,      12973,     15013
 1359,    24175,      12999,     15514
 1360,    24171,      12994,     15512
 1361,    24218,      13008,     15513
 1362,    24209,      13032,     15514
 1363,    24248,      13021,     16012
 1364,    24245,      13024,     15513
 1365,    24277,      13044,     15513
 1366,    24301,      13056,     16013
 1367,    24338,      13068,     15513
 1368,    24338,      13081,     15513
 1369,    24339,      13066,     15513
 1370,    24373,      13094,     16014
 1371,    24437,      13107,     15512
 1372,    24438,      13107,     15513
 1373,    24408,      13090,     15514
 1374,    24455,      13127,     16014
 1375,    24480,      13146,     15012
 1376,    24490,      13161,     15512
 1377,    24529,      13185,     16015
 1378,    24557,      13212,     15512
 1379,    24562,      13224,     16014
