   n, insertion_cmp, insertion_swaps, insertion_time
 136,          5034,            4902,           5004
 137,          5153,            5020,           5004
 138,          5229,            5095,           5003
 139,          5242,            5107,           5004
 140,          5270,            5134,           5005
 141,          5352,            5215,           5003
 142,          5368,            5230,           5505
 143,          5493,            5354,           5504
 144,          5603,            5463,           5505
 145,          5657,            5516,           5505
 146,          5758,            5616,           5504
 147,          5882,            5739,           6005
 148,          5954,            5810,           5504
 149,          6050,            5905,           6005
 150,          6188,            6042,           6005
 151,          6262,            6115,           6005
 152,          6283,            6135,           6505
 153,          6405,            6256,           6505
 154,          6414,            6264,           6505
 155,          6494,            6343,           6505
 156,          6619,            6467,           6505
 157,          6657,            6504,           6505
 158,          6661,            6507,           6507
 159,          6779,            6624,           8505
 160,          6813,            6657,           7006
 161,          6903,            6746,           7004
 162,          7023,            6865,           7006
 163,          7090,            6931,           6505
 164,          7132,            6972,           6505
 165,          7146,            6985,           7006
 166,          7155,            6993,           7005
 167,          7247,            7084,           7005
 168,          7351,            7187,           7005
 169,          7474,            7309,           7506
 170,          7598,            7432,           7506
 171,          7712,            7545,           7506
 172,          7883,            7716,           7506
 173,          7991,            7823,           7506
 174,          8012,            7843,           7506
 175,          8098,            7928,           8006
 176,          8255,            8084,           8008
 177,          8346,            8174,           8506
 178,          8435,            8262,           8007
 179,          8608,            8434,           8507
 180,          8681,            8506,           8507
 181,          8809,            8633,           8507
 182,          8954,            8777,           8507
 183,          9100,            8922,           9508
 184,          9137,            8958,           9008
 185,          9168,            8988,           9507
 186,          9297,            9116,           9007
 187,          9474,            9292,           9508
 188,          9607,            9424,           9508
 189,          9735,            9551,          10008
 190,          9785,            9600,           9508
 191,          9815,            9629,          10008
 192,          9870,            9683,           9508
 193,          9912,            9724,          10008
 194,         10071,            9882,          10008
 195,         10107,            9917,          10008
 196,         10211,           10020,          10008
 197,         10272,           10080,          10009
 198,         10343,           10150,          10008
 199,         10391,           10197,          10008
 200,         10395,           10200,          10509
 201,         10537,           10341,          10509
 202,         10646,           10449,          10509
 203,         10678,           10480,          10508
 204,         10790,           10591,          10509
 205,         10952,           10752,          11009
 206,         10983,           10782,          11009
 207,         11012,           10810,          11009
 208,         11160,           10957,          11009
 209,         11343,           11139,          11510
 210,         11491,           11286,          12010
 211,         11622,           11416,          11509
 212,         11806,           11599,          12010
 213,         11968,           11760,          12009
 214,         12040,           11831,          12010
 215,         12067,           11857,          12010
 216,         12070,           11859,          12009
 217,         12083,           11871,          12010
 218,         12118,           11905,          12010
 219,         12152,           11938,          12010
 220,         12197,           11982,          12010
 221,         12396,           12180,          12010
 222,         12468,           12251,          12010
 223,         12591,           12373,          12511
 224,         12633,           12414,          12510
 225,         12673,           12453,          12010
 226,         12779,           12558,          12010
 227,         12926,           12704,          12510
 228,         12972,           12749,          13011
 229,         13096,           12872,          13046
 230,         13127,           12902,          12976
 231,         13205,           12979,          13511
 232,         13341,           13114,          13511
 233,         13456,           13228,          13511
 234,         13580,           13351,          14011
 235,         13739,           13509,          13011
 236,         13928,           13697,          13511
 237,         14014,           13782,          14512
 238,         14030,           13797,          14512
 239,         14197,           13963,          14011
 240,         14198,           13963,          13511
 241,         14363,           14127,          14012
