    n, quick_cmp, quick_swaps, quick_time
  644,      9903,        1881,       5504
  645,      9917,        1881,       5004
  646,     10659,        1885,       5504
  647,     10079,        1892,       5505
  648,     10212,        1905,       5004
  649,     10181,        1911,       5504
  650,     10131,        1871,       5505
  651,     10096,        1898,       5504
  652,     10421,        1884,       5505
  653,     10107,        1912,       5003
  654,     10781,        1880,       5503
  655,     10926,        1877,       5505
  656,     10563,        1935,       6004
  657,     10155,        1908,       5504
  658,     10167,        1950,       5003
  659,     10171,        1933,       5505
  660,     10401,        1938,       5504
  661,     10554,        1940,       6005
  662,     10156,        1904,       5505
  663,     10739,        1928,       5504
  664,     10274,        1948,       5504
  665,     10758,        1913,       6005
  666,     10265,        1950,       5505
  667,     10323,        1945,       5503
  668,     10330,        1971,       5504
  669,     10298,        1970,       5005
  670,     10800,        1963,       5504
  671,     10983,        1960,       5505
  672,     10784,        1963,       5504
  673,     10772,        1955,       5503
  674,     11005,        1958,       6006
  675,     11044,        1994,       6004
  676,     11395,        1970,       6005
  677,     10471,        2011,       5504
  678,     10931,        2002,       5505
  679,     10490,        2036,       5504
  680,     10664,        2007,       5503
  681,     10584,        1993,       5504
  682,     10908,        2031,       5503
  683,     11142,        2006,       6005
  684,     10719,        2039,       6005
  685,     10839,        2036,       6004
  686,     11057,        2010,       5505
  687,     10704,        2034,       6005
  688,     11115,        2024,       6005
  689,     11041,        2029,       6006
  690,     10772,        2012,       5503
  691,     11041,        2028,       6005
  692,     11222,        2077,       5504
  693,     10965,        2035,       6005
  694,     11561,        2041,       6006
  695,     11255,        1996,       6005
  696,     10958,        2033,       5504
  697,     11188,        2057,       7505
  698,     11230,        2043,       7006
  699,     11518,        2053,       6005
  700,     11055,        2047,       5503
  701,     10958,        2101,       6004
  702,     11303,        2104,       6005
  703,     11362,        2075,       6004
  704,     11149,        2082,       6005
  705,     11613,        2065,       6005
  706,     11237,        2108,       6006
  707,     11381,        2091,       6004
  708,     11757,        2040,       6505
  709,     11456,        2085,       6505
  710,     11528,        2124,       6004
  711,     11987,        2094,       6505
  712,     11557,        2095,       6505
  713,     11597,        2099,       6005
  714,     11804,        2066,       6005
  715,     11896,        2121,       6005
  716,     11444,        2106,       6004
  717,     11496,        2109,       6005
  718,     11623,        2089,       6004
  719,     11747,        2114,       6005
  720,     11647,        2115,       6005
  721,     11652,        2108,       6004
  722,     11413,        2134,       6004
  723,     11382,        2135,       6505
  724,     11758,        2091,       6505
  725,     11287,        2163,       6005
  726,     11435,        2154,       6005
  727,     11781,        2148,       6004
  728,     11621,        2152,       6005
  729,     11474,        2142,       6005
  730,     11796,        2142,       6505
  731,     11639,        2151,       6005
  732,     11829,        2172,       6005
  733,     11711,        2188,       6005
  734,     11898,        2179,       6505
  735,     11659,        2174,       6505
  736,     12218,        2141,       6505
  737,     12024,        2187,       6505
  738,     12147,        2176,       6505
  739,     11729,        2188,       6005
  740,     12188,        2192,       6505
  741,     12331,        2128,       6505
  742,     11655,        2222,       6005
  743,     12132,        2224,       6505
  744,     12198,        2184,       6505
  745,     12423,        2189,       6504
  746,     12536,        2189,       6505
  747,     12301,        2196,       6506
  748,     12360,        2214,       6505
  749,     12859,        2199,       6505
  750,     11874,        2224,       6004
  751,     12516,        2221,       6505
  752,     12271,        2244,       6505
  753,     12396,        2234,       7006
  754,     12642,        2192,       7006
  755,     12332,        2232,       6505
  756,     12423,        2232,       6505
  757,     12715,        2208,       7006
  758,     12158,        2235,       6505
  759,     12004,        2261,       6505
  760,     12387,        2271,       6505
  761,     12385,        2273,       6505
  762,     12467,        2289,       7005
  763,     12707,        2281,       6505
  764,     12152,        2291,       6505
  765,     12332,        2245,       6505
  766,     12104,        2271,       6505
  767,     12298,        2261,       7005
  768,     12433,        2286,       6505
  769,     12185,        2295,       6505
  770,     12563,        2281,       6505
  771,     12076,        2309,       6505
  772,     12838,        2312,       7005
  773,     12656,        2292,       6505
  774,     12914,        2287,       6505
  775,     12909,        2282,       7006
  776,     12626,        2322,       7005
  777,     12427,        2324,       6505
  778,     12366,        2363,       6505
