   n, heap_cmp, heap_swaps, heap_time
 148,     1652,        920,      1000
 149,     1682,        936,      1001
 150,     1686,        936,      1501
 151,     1719,        956,      1000
 152,     1727,        959,      1000
 153,     1743,        969,      1501
 154,     1760,        978,      1000
 155,     1770,        984,      1000
 156,     1791,        995,      1001
 157,     1796,        995,      1000
 158,     1799,       1005,      1501
 159,     1824,       1013,      1001
 160,     1825,       1009,      1500
 161,     1851,       1031,      1001
 162,     1854,       1031,      1500
 163,     1880,       1048,      1000
 164,     1889,       1058,      1501
 165,     1908,       1056,      1000
 166,     1927,       1077,      1501
 167,     1945,       1067,      1001
 168,     1938,       1081,      1000
 169,     1956,       1086,      1501
 170,     1963,       1088,      1000
 171,     1986,       1104,      1501
 172,     2007,       1115,      1000
 173,     2020,       1123,      1000
 174,     2031,       1134,      1501
 175,     2042,       1136,      1500
 176,     2063,       1143,      1000
 177,     2076,       1150,      1000
 178,     2091,       1165,      1501
 179,     2108,       1170,      1501
 180,     2123,       1181,      1501
 181,     2128,       1185,      1501
 182,     2138,       1192,      1500
 183,     2146,       1196,      1502
 184,     2171,       1211,      1500
 185,     2191,       1220,      1502
 186,     2202,       1217,      1500
 187,     2215,       1232,      1501
 188,     2239,       1239,      1502
 189,     2256,       1253,      1500
 190,     2284,       1267,      1501
 191,     2291,       1271,      1501
 192,     2300,       1278,      1501
 193,     2328,       1284,      1501
 194,     2339,       1299,      1501
 195,     2353,       1305,      2001
 196,     2366,       1319,      1501
 197,     2377,       1322,      1500
 198,     2387,       1319,      1501
 199,     2408,       1337,      1501
 200,     2418,       1341,      1501
 201,     2443,       1349,      1500
 202,     2451,       1356,      1501
 203,     2463,       1358,      2001
 204,     2481,       1368,      1501
 205,     2499,       1386,      1500
 206,     2514,       1399,      1502
 207,     2526,       1402,      1500
 208,     2532,       1398,      2001
 209,     2561,       1419,      1501
 210,     2585,       1431,      1501
 211,     2591,       1426,      1501
 212,     2613,       1438,      1501
 213,     2624,       1446,      1500
 214,     2653,       1462,      1501
 215,     2660,       1469,      1501
 216,     2671,       1476,      1501
 217,     2694,       1485,      1501
 218,     2713,       1492,      2002
 219,     2713,       1496,      1500
 220,     2732,       1501,      1500
 221,     2751,       1522,      2001
 222,     2764,       1518,      1501
 223,     2780,       1531,      2001
 224,     2797,       1547,      1501
 225,     2808,       1549,      1501
 226,     2830,       1561,      2001
 227,     2847,       1566,      1501
